Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.16363E-4,55.759394629,0.618295405,0.024272314,0.5129683,0
9.19295E-4,56.034877277,0.619049098,0.023982207,0.515850144,0
9.24951E-4,56.311725356,0.620494589,0.023692099,0.518731988,0
9.38158E-4,56.591310541,0.623827523,0.023401992,0.521613833,0
9.43643E-4,56.779522153,0.62519435,0.023208587,0.524495677,0
9.52226E-4,57.064448932,0.627313619,0.02291848,0.524495677,0
9.73086E-4,57.258657134,0.632365729,0.022725075,0.524495677,0
9.81224E-4,57.551874576,0.634299847,0.022434968,0.527377522,0
9.86495E-4,57.846981826,0.635541597,0.02214486,0.530259366,0
9.90579E-4,58.044695636,0.636498153,0.021951455,0.53314121,0
1.00232E-3,58.344602618,0.639220903,0.021661348,0.536023055,0
1.00995E-3,58.546321369,0.640966438,0.021467943,0.538904899,0
1.02257E-3,58.851410732,0.643818639,0.021177836,0.541786744,0
1.03137E-3,59.057063796,0.645782085,0.020984431,0.541786744,0
1.06515E-3,59.269859881,0.653119317,0.020791026,0.544668588,0
1.0867E-3,59.594266764,0.657642646,0.020500919,0.550432277,0
1.09986E-3,59.813834635,0.660347417,0.020307514,0.556195965,0
1.10627E-3,60.034447667,0.661650658,0.020114109,0.561959654,0
1.11415E-3,60.257023794,0.663238042,0.019920704,0.564841499,0
1.13113E-3,60.595798041,0.666606285,0.019630597,0.570605187,0
1.14175E-3,60.823936008,0.668680604,0.019437192,0.576368876,0
1.15023E-3,61.053931167,0.670318583,0.019243787,0.582132565,0
1.16854E-3,61.287351738,0.673798222,0.019050382,0.585014409,0
1.17877E-3,61.522379417,0.675712318,0.018856977,0.585014409,0
1.19425E-3,61.759982961,0.678563223,0.018663572,0.587896254,0
1.20269E-3,62.000445285,0.680098733,0.018470167,0.590778098,0
1.21849E-3,62.364217073,0.68293188,0.01818006,0.596541787,0
1.2218E-3,62.608496298,0.683518112,0.017986655,0.596541787,0
1.22785E-3,62.853609152,0.684586454,0.01779325,0.599423631,0
1.23354E-3,63.099904104,0.685582796,0.017599845,0.602305476,0
1.24592E-3,63.348995578,0.687731183,0.01740644,0.60518732,0
1.24893E-3,63.598553241,0.688249365,0.017213035,0.610951009,0
1.25163E-3,63.848614385,0.688712824,0.017019631,0.613832853,0
1.26207E-3,64.100150935,0.690491598,0.016826226,0.616714697,0
1.2714E-3,64.353506089,0.692063679,0.016632821,0.619596542,0
1.30958E-3,64.612665325,0.698332215,0.016439416,0.619596542,0
1.31535E-3,64.875734784,0.699257938,0.016246011,0.625360231,0
1.32345E-3,65.008080211,0.700547795,0.016149309,0.625360231,0
1.33041E-3,65.273736961,0.70164582,0.015955904,0.625360231,0
1.34175E-3,65.541709903,0.703420066,0.015762499,0.628242075,0
1.36057E-3,65.81212935,0.706318088,0.015569094,0.628242075,0
1.36728E-3,66.085185247,0.707337219,0.015375689,0.634005764,0
1.37556E-3,66.359735962,0.708585687,0.015182284,0.636887608,0
1.38773E-3,66.63696113,0.710401158,0.014988879,0.642651297,0
1.39064E-3,66.77602513,0.710831665,0.014892177,0.642651297,0
1.3982E-3,67.055112845,0.711944645,0.014698772,0.642651297,0
1.40403E-3,67.335512303,0.712797357,0.014505367,0.642651297,0
1.41776E-3,67.617774503,0.714785285,0.014311962,0.648414986,0
1.42293E-3,67.760067239,0.715526563,0.01421526,0.65129683,0
1.45859E-3,68.048232648,0.720537761,0.014021855,0.65129683,0
1.46768E-3,68.341693503,0.721787787,0.01382845,0.657060519,0
1.47235E-3,68.63592954,0.722425656,0.013635045,0.662824207,0
1.4799E-3,68.783919554,0.723449477,0.013538343,0.665706052,0
1.49477E-3,69.082229933,0.725445499,0.013344938,0.671469741,0
1.52778E-3,69.385614591,0.729774604,0.013151533,0.677233429,0
1.5338E-3,69.538994413,0.730548996,0.01305483,0.680115274,0
1.5477E-3,69.848425471,0.732321136,0.012861425,0.682997118,0
1.54831E-3,70.003256118,0.732398201,0.012764723,0.682997118,0
1.56263E-3,70.314771421,0.734199151,0.012571318,0.685878963,0
1.56762E-3,70.628218135,0.734820305,0.012377913,0.688760807,0
1.58137E-3,70.786355501,0.736519519,0.012281211,0.691642651,0
1.60811E-3,71.105378096,0.739760066,0.012087806,0.69740634,0
1.61134E-3,71.266511795,0.740145867,0.011991103,0.700288184,0
1.65347E-3,71.596595735,0.745079879,0.011797698,0.706051873,0
1.65856E-3,71.762451789,0.745662823,0.011700996,0.708933718,0
1.68307E-3,72.09796836,0.748434657,0.011507591,0.714697406,0
1.70669E-3,72.268637049,0.75104933,0.011410889,0.717579251,0
1.71755E-3,72.611786195,0.752233837,0.011217484,0.720461095,0
1.72212E-3,72.783998195,0.752728683,0.011120781,0.723342939,0
1.73254E-3,73.129956769,0.753850138,0.010927376,0.729106628,0
1.73603E-3,73.303559287,0.754222488,0.010830674,0.731988473,0
1.75238E-3,73.652399842,0.755956214,0.010637269,0.734870317,0
1.75709E-3,73.828108764,0.756451287,0.010540567,0.737752161,0
1.78416E-3,74.00652496,0.759257191,0.010443864,0.740634006,0
1.79131E-3,74.364167495,0.759986787,0.010250459,0.740634006,0
1.8081E-3,74.544977889,0.761685284,0.010153757,0.74351585,0
1.81991E-3,74.907892504,0.762865102,0.009960352,0.749279539,0
1.82087E-3,75.089979613,0.762960159,0.00986365,0.749279539,0
1.83173E-3,75.273153073,0.764034252,0.009766947,0.752161383,0
1.86795E-3,75.645761974,0.767545714,0.009573542,0.757925072,0
1.88406E-3,75.834168296,0.769074608,0.00947684,0.760806916,0
1.89654E-3,76.023822313,0.770244773,0.009380137,0.763688761,0
1.89896E-3,76.40341111,0.770470284,0.009186732,0.766570605,0
1.90033E-3,76.593444454,0.770598181,0.00909003,0.76945245,0
1.90059E-3,76.783503218,0.770621826,0.008993328,0.772334294,0
1.92379E-3,77.167612912,0.772759728,0.008799923,0.778097983,0
1.93328E-3,77.360941148,0.77362281,0.00870322,0.780979827,0
1.93769E-3,77.554709946,0.7740212,0.008606518,0.783861671,0
1.97844E-3,77.947364609,0.777641082,0.008413113,0.78962536,0
1.9794E-3,78.145304387,0.777724583,0.00831641,0.792507205,0
1.98325E-3,78.343629619,0.778060706,0.008219708,0.792507205,0
1.98513E-3,78.54214301,0.778224416,0.008123006,0.795389049,0
2.00358E-3,78.942257076,0.779817066,0.007929601,0.798270893,0
2.00574E-3,79.142831091,0.780001604,0.007832898,0.801152738,0
2.01046E-3,79.343877447,0.78040497,0.007736196,0.804034582,0
2.02215E-3,79.546092215,0.781396434,0.007639493,0.806916427,0
2.03305E-3,79.952272079,0.782313623,0.007446088,0.809798271,0
2.03476E-3,80.15574767,0.78245632,0.007349386,0.812680115,0
2.03487E-3,80.359235097,0.782466221,0.007252683,0.812680115,0
2.03594E-3,80.562828715,0.782555011,0.007155981,0.81556196,0
2.05792E-3,80.768621189,0.784377403,0.007059279,0.818443804,0
2.0603E-3,81.180573678,0.784572248,0.006865874,0.824207493,0
2.06814E-3,81.387387538,0.785213568,0.006769171,0.827089337,0
2.07078E-3,81.594465561,0.785428773,0.006672469,0.829971182,0
2.082E-3,81.802665096,0.786337649,0.006575766,0.832853026,0
2.08762E-3,82.01142664,0.786790213,0.006479064,0.83573487,0
2.09149E-3,82.429466035,0.787101247,0.006285659,0.838616715,0
2.10558E-3,82.640024517,0.788224439,0.006188957,0.838616715,0
2.11181E-3,82.85120549,0.78871679,0.006092254,0.838616715,0
2.11306E-3,83.06251164,0.78881552,0.005995552,0.841498559,0
2.1154E-3,83.274052109,0.789000088,0.005898849,0.844380403,0
2.11771E-3,83.697499594,0.789181203,0.005705444,0.850144092,0
2.13265E-3,83.910764416,0.790348453,0.005608742,0.853025937,0
2.14549E-3,84.125312944,0.791341116,0.005512039,0.855907781,0
2.15719E-3,84.341032387,0.792238398,0.005415337,0.858789625,0
2.1607E-3,84.557102165,0.792505365,0.005318635,0.86167147,0
2.18296E-3,84.775398127,0.794185887,0.005221932,0.864553314,0
2.26672E-3,85.002070477,0.800272438,0.00512523,0.867435159,0
2.33347E-3,85.467413573,0.804870494,0.004931825,0.870317003,0
2.38364E-3,85.705777783,0.808190048,0.004835122,0.873198847,0
2.40509E-3,85.946286545,0.809574677,0.00473842,0.876080692,0
2.41096E-3,86.18738218,0.809950115,0.004641717,0.878962536,0
2.41638E-3,86.429020178,0.810295764,0.004545015,0.88184438,0
2.42226E-3,86.671246339,0.810669185,0.004448313,0.884726225,0
2.42502E-3,86.913747889,0.810843521,0.00435161,0.887608069,0
2.43686E-3,87.157434243,0.811589924,0.004254908,0.890489914,0
2.45998E-3,87.403432568,0.813029587,0.004158205,0.893371758,0
2.46992E-3,87.650424569,0.81364161,0.004061503,0.896253602,0
2.48683E-3,87.899107681,0.814674035,0.0039648,0.899135447,0
2.50671E-3,88.149779086,0.815873354,0.003868098,0.899135447,0
2.52103E-3,88.401882041,0.816727284,0.003771395,0.902017291,0
2.52978E-3,88.654860117,0.81724541,0.003674693,0.904899135,0
2.53016E-3,88.907876433,0.817267984,0.003577991,0.904899135,0
